U+0010E	LATIN CAPITAL LETTER D WITH CARON	Lu	Dcaron
U+0010F	LATIN SMALL LETTER D WITH CARON	Ll	dcaron
U+00110	LATIN CAPITAL LETTER D WITH STROKE	Lu	Dstrok
U+00111	LATIN SMALL LETTER D WITH STROKE	Ll	dstrok
U+00112	LATIN CAPITAL LETTER E WITH MACRON	Lu	Emacr
U+00113	LATIN SMALL LETTER E WITH MACRON	Ll	emacr
U+00116	LATIN CAPITAL LETTER E WITH DOT ABOVE	Lu	Edot
U+00117	LATIN SMALL LETTER E WITH DOT ABOVE	Ll	edot
U+00118	LATIN CAPITAL LETTER E WITH OGONEK	Lu	Eogon
U+00119	LATIN SMALL LETTER E WITH OGONEK	Ll	eogon
U+0011A	LATIN CAPITAL LETTER E WITH CARON	Lu	Ecaron
U+0011B	LATIN SMALL LETTER E WITH CARON	Ll	ecaron
U+0011C	LATIN CAPITAL LETTER G WITH CIRCUMFLEX	Lu	Gcirc
U+0011D	LATIN SMALL LETTER G WITH CIRCUMFLEX	Ll	gcirc
U+0011E	LATIN CAPITAL LETTER G WITH BREVE	Lu	Gbreve
U+0011F	LATIN SMALL LETTER G WITH BREVE	Ll	gbreve
U+00120	LATIN CAPITAL LETTER G WITH DOT ABOVE	Lu	Gdot
U+00121	LATIN SMALL LETTER G WITH DOT ABOVE	Ll	gdot
U+00122	LATIN CAPITAL LETTER G WITH CEDILLA	Lu	Gcedil
U+00124	LATIN CAPITAL LETTER H WITH CIRCUMFLEX	Lu	Hcirc
U+00125	LATIN SMALL LETTER H WITH CIRCUMFLEX	Ll	hcirc
U+00126	LATIN CAPITAL LETTER H WITH STROKE	Lu	Hstrok
U+00127	LATIN SMALL LETTER H WITH STROKE	Ll	hstrok
U+00128	LATIN CAPITAL LETTER I WITH TILDE	Lu	Itilde
U+00129	LATIN SMALL LETTER I WITH TILDE	Ll	itilde
U+0012A	LATIN CAPITAL LETTER I WITH MACRON	Lu	Imacr
U+0012B	LATIN SMALL LETTER I WITH MACRON	Ll	imacr
U+0012E	LATIN CAPITAL LETTER I WITH OGONEK	Lu	Iogon
U+0012F	LATIN SMALL LETTER I WITH OGONEK	Ll	iogon
U+00130	LATIN CAPITAL LETTER I WITH DOT ABOVE	Lu	Idot
U+00131	LATIN SMALL LETTER DOTLESS I	Ll	imath	inodot
U+00132	LATIN CAPITAL LIGATURE IJ	Lu	IJlig
U+00133	LATIN SMALL LIGATURE IJ	Ll	ijlig
U+00134	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	Lu	Jcirc
U+00135	LATIN SMALL LETTER J WITH CIRCUMFLEX	Ll	jcirc
U+00136	LATIN CAPITAL LETTER K WITH CEDILLA	Lu	Kcedil
U+00137	LATIN SMALL LETTER K WITH CEDILLA	Ll	kcedil
U+00138	LATIN SMALL LETTER KRA	Ll	kgreen
U+00139	LATIN CAPITAL LETTER L WITH ACUTE	Lu	Lacute
U+0013A	LATIN SMALL LETTER L WITH ACUTE	Ll	lacute
U+0013B	LATIN CAPITAL LETTER L WITH CEDILLA	Lu	Lcedil
U+0013C	LATIN SMALL LETTER L WITH CEDILLA	Ll	lcedil
U+0013D	LATIN CAPITAL LETTER L WITH CARON	Lu	Lcaron
U+0013E	LATIN SMALL LETTER L WITH CARON	Ll	lcaron
U+0013F	LATIN CAPITAL LETTER L WITH MIDDLE DOT	Lu	Lmidot
U+00140	LATIN SMALL LETTER L WITH MIDDLE DOT	Ll	lmidot
U+00141	LATIN CAPITAL LETTER L WITH STROKE	Lu	Lstrok
U+00142	LATIN SMALL LETTER L WITH STROKE	Ll	lstrok
U+00143	LATIN CAPITAL LETTER N WITH ACUTE	Lu	Nacute
U+00144	LATIN SMALL LETTER N WITH ACUTE	Ll	nacute
U+00145	LATIN CAPITAL LETTER N WITH CEDILLA	Lu	Ncedil
U+00146	LATIN SMALL LETTER N WITH CEDILLA	Ll	ncedil
U+00147	LATIN CAPITAL LETTER N WITH CARON	Lu	Ncaron
U+00148	LATIN SMALL LETTER N WITH CARON	Ll	ncaron
U+00149	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE	Ll	napos
U+0014A	LATIN CAPITAL LETTER ENG	Lu	ENG
U+0014B	LATIN SMALL LETTER ENG	Ll	eng
U+0014C	LATIN CAPITAL LETTER O WITH MACRON	Lu	Omacr
U+0014D	LATIN SMALL LETTER O WITH MACRON	Ll	omacr
U+00150	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	Lu	Odblac
U+00151	LATIN SMALL LETTER O WITH DOUBLE ACUTE	Ll	odblac
U+00152	LATIN CAPITAL LIGATURE OE	Lu	OElig
U+00153	LATIN SMALL LIGATURE OE	Ll	oelig
U+00154	LATIN CAPITAL LETTER R WITH ACUTE	Lu	Racute
U+00155	LATIN SMALL LETTER R WITH ACUTE	Ll	racute
U+00156	LATIN CAPITAL LETTER R WITH CEDILLA	Lu	Rcedil
U+00157	LATIN SMALL LETTER R WITH CEDILLA	Ll	rcedil
U+00158	LATIN CAPITAL LETTER R WITH CARON	Lu	Rcaron
U+00159	LATIN SMALL LETTER R WITH CARON	Ll	rcaron
U+0015A	LATIN CAPITAL LETTER S WITH ACUTE	Lu	Sacute
U+0015B	LATIN SMALL LETTER S WITH ACUTE	Ll	sacute
U+0015C	LATIN CAPITAL LETTER S WITH CIRCUMFLEX	Lu	Scirc
U+0015D	LATIN SMALL LETTER S WITH CIRCUMFLEX	Ll	scirc
U+0015E	LATIN CAPITAL LETTER S WITH CEDILLA	Lu	Scedil
U+0015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	scedil
U+00160	LATIN CAPITAL LETTER S WITH CARON	Lu	Scaron
U+00161	LATIN SMALL LETTER S WITH CARON	Ll	scaron
U+00162	LATIN CAPITAL LETTER T WITH CEDILLA	Lu	Tcedil
U+00163	LATIN SMALL LETTER T WITH CEDILLA	Ll	tcedil
U+00164	LATIN CAPITAL LETTER T WITH CARON	Lu	Tcaron
U+00165	LATIN SMALL LETTER T WITH CARON	Ll	tcaron
U+00166	LATIN CAPITAL LETTER T WITH STROKE	Lu	Tstrok
U+00167	LATIN SMALL LETTER T WITH STROKE	Ll	tstrok
U+00168	LATIN CAPITAL LETTER U WITH TILDE	Lu	Utilde
U+00169	LATIN SMALL LETTER U WITH TILDE	Ll	utilde
U+0016A	LATIN CAPITAL LETTER U WITH MACRON	Lu	Umacr
U+0016B	LATIN SMALL LETTER U WITH MACRON	Ll	umacr
U+0016C	LATIN CAPITAL LETTER U WITH BREVE	Lu	Ubreve
U+0016D	LATIN SMALL LETTER U WITH BREVE	Ll	ubreve
U+0016E	LATIN CAPITAL LETTER U WITH RING ABOVE	Lu	Uring
U+0016F	LATIN SMALL LETTER U WITH RING ABOVE	Ll	uring
U+00170	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE	Lu	Udblac
U+00171	LATIN SMALL LETTER U WITH DOUBLE ACUTE	Ll	udblac
U+00172	LATIN CAPITAL LETTER U WITH OGONEK	Lu	Uogon
U+00173	LATIN SMALL LETTER U WITH OGONEK	Ll	uogon
U+00174	LATIN CAPITAL LETTER W WITH CIRCUMFLEX	Lu	Wcirc
U+00175	LATIN SMALL LETTER W WITH CIRCUMFLEX	Ll	wcirc
U+00176	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX	Lu	Ycirc
U+00177	LATIN SMALL LETTER Y WITH CIRCUMFLEX	Ll	ycirc
U+00178	LATIN CAPITAL LETTER Y WITH DIAERESIS	Lu	Yuml
U+00179	LATIN CAPITAL LETTER Z WITH ACUTE	Lu	Zacute
U+0017A	LATIN SMALL LETTER Z WITH ACUTE	Ll	zacute
U+0017B	LATIN CAPITAL LETTER Z WITH DOT ABOVE	Lu	Zdot
U+0017C	LATIN SMALL LETTER Z WITH DOT ABOVE	Ll	zdot
U+0017D	LATIN CAPITAL LETTER Z WITH CARON	Lu	Zcaron
U+0017E	LATIN SMALL LETTER Z WITH CARON	Ll	zcaron
U+00192	LATIN SMALL LETTER F WITH HOOK	Ll	fnof
U+001B5	LATIN CAPITAL LETTER Z WITH STROKE	Lu	imped
U+001F5	LATIN SMALL LETTER G WITH ACUTE	Ll	gacute
U+00237	LATIN SMALL LETTER DOTLESS J	Ll	jmath
U+002C6	MODIFIER LETTER CIRCUMFLEX ACCENT	Lm	circ
U+002C7	CARON	Lm	caron	Hacek
U+002D8	BREVE	Sk	breve	Breve
U+002D9	DOT ABOVE	Sk	dot	DiacriticalDot
U+002DA	RING ABOVE	Sk	ring
U+002DB	OGONEK	Sk	ogon
U+002DC	SMALL TILDE	Sk	tilde	DiacriticalTilde
U+002DD	DOUBLE ACUTE ACCENT	Sk	dblac	DiacriticalDoubleAcute
U+00311	COMBINING INVERTED BREVE	Mn	DownBreve
U+00332	COMBINING LOW LINE	Mn	UnderBar
U+00391	GREEK CAPITAL LETTER ALPHA	Lu	Alpha
U+00392	GREEK CAPITAL LETTER BETA	Lu	Beta
U+00393	GREEK CAPITAL LETTER GAMMA	Lu	Gamma
U+00394	GREEK CAPITAL LETTER DELTA	Lu	Delta
U+00395	GREEK CAPITAL LETTER EPSILON	Lu	Epsilon
U+00396	GREEK CAPITAL LETTER ZETA	Lu	Zeta
U+00397	GREEK CAPITAL LETTER ETA	Lu	Eta
U+00398	GREEK CAPITAL LETTER THETA	Lu	Theta
U+00399	GREEK CAPITAL LETTER IOTA	Lu	Iota
U+0039A	GREEK CAPITAL LETTER KAPPA	Lu	Kappa
U+0039B	GREEK CAPITAL LETTER LAMDA	Lu	Lambda
U+0039C	GREEK CAPITAL LETTER MU	Lu	Mu
U+0039D	GREEK CAPITAL LETTER NU	Lu	Nu
U+0039E	GREEK CAPITAL LETTER XI	Lu	Xi
U+0039F	GREEK CAPITAL LETTER OMICRON	Lu	Omicron
U+003A0	GREEK CAPITAL LETTER PI	Lu	Pi
U+003A1	GREEK CAPITAL LETTER RHO	Lu	Rho
U+003A3	GREEK CAPITAL LETTER SIGMA	Lu	Sigma
U+003A4	GREEK CAPITAL LETTER TAU	Lu	Tau
U+003A5	GREEK CAPITAL LETTER UPSILON	Lu	Upsilon
U+003A6	GREEK CAPITAL LETTER PHI	Lu	Phi
U+003A7	GREEK CAPITAL LETTER CHI	Lu	Chi
U+003A8	GREEK CAPITAL LETTER PSI	Lu	Psi
U+003A9	GREEK CAPITAL LETTER OMEGA	Lu	Omega
U+003B1	GREEK SMALL LETTER ALPHA	Ll	alpha
U+003B2	GREEK SMALL LETTER BETA	Ll	beta
U+003B3	GREEK SMALL LETTER GAMMA	Ll	gamma
U+003B4	GREEK SMALL LETTER DELTA	Ll	delta
U+003B5	GREEK SMALL LETTER EPSILON	Ll	epsiv	varepsilon	epsilon
U+003B6	GREEK SMALL LETTER ZETA	Ll	zeta
U+003B7	GREEK SMALL LETTER ETA	Ll	eta
U+003B8	GREEK SMALL LETTER THETA	Ll	theta
U+003B9	GREEK SMALL LETTER IOTA	Ll	iota
U+003BA	GREEK SMALL LETTER KAPPA	Ll	kappa
U+003BB	GREEK SMALL LETTER LAMDA	Ll	lambda
U+003BC	GREEK SMALL LETTER MU	Ll	mu
U+003BD	GREEK SMALL LETTER NU	Ll	nu
U+003BE	GREEK SMALL LETTER XI	Ll	xi
U+003BF	GREEK SMALL LETTER OMICRON	Ll	omicron
U+003C0	GREEK SMALL LETTER PI	Ll	pi
U+003C1	GREEK SMALL LETTER RHO	Ll	rho
U+003C2	GREEK SMALL LETTER FINAL SIGMA	Ll	sigmav	varsigma	sigmaf
U+003C3	GREEK SMALL LETTER SIGMA	Ll	sigma
U+003C4	GREEK SMALL LETTER TAU	Ll	tau
U+003C5	GREEK SMALL LETTER UPSILON	Ll	upsi	upsilon
U+003C6	GREEK SMALL LETTER PHI	Ll	phi	phiv	varphi
U+003C7	GREEK SMALL LETTER CHI	Ll	chi
U+003C8	GREEK SMALL LETTER PSI	Ll	psi
U+003C9	GREEK SMALL LETTER OMEGA	Ll	omega
U+003D1	GREEK THETA SYMBOL	Ll	thetav	vartheta	thetasym
U+003D2	GREEK UPSILON WITH HOOK SYMBOL	Lu	Upsi	upsih
U+003D5	GREEK PHI SYMBOL	Ll	straightphi
U+003D6	GREEK PI SYMBOL	Ll	piv	varpi
U+003DC	GREEK LETTER DIGAMMA	Lu	Gammad
U+003DD	GREEK SMALL LETTER DIGAMMA	Ll	gammad	digamma
U+003F0	GREEK KAPPA SYMBOL	Ll	kappav	varkappa
U+003F1	GREEK RHO SYMBOL	Ll	rhov	varrho
U+003F5	GREEK LUNATE EPSILON SYMBOL	Ll	epsi	straightepsilon
U+003F6	GREEK REVERSED LUNATE EPSILON SYMBOL	Sm	bepsi	backepsilon
U+00401	CYRILLIC CAPITAL LETTER IO	Lu	IOcy
U+00402	CYRILLIC CAPITAL LETTER DJE	Lu	DJcy
U+00403	CYRILLIC CAPITAL LETTER GJE	Lu	GJcy
U+00404	CYRILLIC CAPITAL LETTER UKRAINIAN IE	Lu	Jukcy
U+00405	CYRILLIC CAPITAL LETTER DZE	Lu	DScy
U+00406	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I	Lu	Iukcy
U+00407	CYRILLIC CAPITAL LETTER YI	Lu	YIcy
U+00408	CYRILLIC CAPITAL LETTER JE	Lu	Jsercy
U+00409	CYRILLIC CAPITAL LETTER LJE	Lu	LJcy
U+0040A	CYRILLIC CAPITAL LETTER NJE	Lu	NJcy
U+0040B	CYRILLIC CAPITAL LETTER TSHE	Lu	TSHcy
U+0040C	CYRILLIC CAPITAL LETTER KJE	Lu	KJcy
U+0040E	CYRILLIC CAPITAL LETTER SHORT U	Lu	Ubrcy
U+0040F	CYRILLIC CAPITAL LETTER DZHE	Lu	DZcy
U+00410	CYRILLIC CAPITAL LETTER A	Lu	Acy
U+00411	CYRILLIC CAPITAL LETTER BE	Lu	Bcy
U+00412	CYRILLIC CAPITAL LETTER VE	Lu	Vcy
U+00413	CYRILLIC CAPITAL LETTER GHE	Lu	Gcy
U+00414	CYRILLIC CAPITAL LETTER DE	Lu	Dcy
U+00415	CYRILLIC CAPITAL LETTER IE	Lu	IEcy
U+00416	CYRILLIC CAPITAL LETTER ZHE	Lu	ZHcy
U+00417	CYRILLIC CAPITAL LETTER ZE	Lu	Zcy
U+00418	CYRILLIC CAPITAL LETTER I	Lu	Icy
U+00419	CYRILLIC CAPITAL LETTER SHORT I	Lu	Jcy
U+0041A	CYRILLIC CAPITAL LETTER KA	Lu	Kcy
U+0041B	CYRILLIC CAPITAL LETTER EL	Lu	Lcy
U+0041C	CYRILLIC CAPITAL LETTER EM	Lu	Mcy
U+0041D	CYRILLIC CAPITAL LETTER EN	Lu	Ncy
U+0041E	CYRILLIC CAPITAL LETTER O	Lu	Ocy
U+0041F	CYRILLIC CAPITAL LETTER PE	Lu	Pcy
U+00420	CYRILLIC CAPITAL LETTER ER	Lu	Rcy
U+00421	CYRILLIC CAPITAL LETTER ES	Lu	Scy
U+00422	CYRILLIC CAPITAL LETTER TE	Lu	Tcy
U+00423	CYRILLIC CAPITAL LETTER U	Lu	Ucy
U+00424	CYRILLIC CAPITAL LETTER EF	Lu	Fcy
U+00425	CYRILLIC CAPITAL LETTER HA	Lu	KHcy
U+00426	CYRILLIC CAPITAL LETTER TSE	Lu	TScy
U+00427	CYRILLIC CAPITAL LETTER CHE	Lu	CHcy
U+00428	CYRILLIC CAPITAL LETTER SHA	Lu	SHcy
U+00429	CYRILLIC CAPITAL LETTER SHCHA	Lu	SHCHcy
U+0042A	CYRILLIC CAPITAL LETTER HARD SIGN	Lu	HARDcy
U+0042B	CYRILLIC CAPITAL LETTER YERU	Lu	Ycy
U+0042C	CYRILLIC CAPITAL LETTER SOFT SIGN	Lu	SOFTcy
U+0042D	CYRILLIC CAPITAL LETTER E	Lu	Ecy
U+0042E	CYRILLIC CAPITAL LETTER YU	Lu	YUcy
U+0042F	CYRILLIC CAPITAL LETTER YA	Lu	YAcy
U+00430	CYRILLIC SMALL LETTER A	Ll	acy
U+00431	CYRILLIC SMALL LETTER BE	Ll	bcy
U+00432	CYRILLIC SMALL LETTER VE	Ll	vcy
U+00433	CYRILLIC SMALL LETTER GHE	Ll	gcy
U+00434	CYRILLIC SMALL LETTER DE	Ll	dcy
U+00435	CYRILLIC SMALL LETTER IE	Ll	iecy
U+00436	CYRILLIC SMALL LETTER ZHE	Ll	zhcy
U+00437	CYRILLIC SMALL LETTER ZE	Ll	zcy
U+00438	CYRILLIC SMALL LETTER I	Ll	icy
U+00439	CYRILLIC SMALL LETTER SHORT I	Ll	jcy
U+0043A	CYRILLIC SMALL LETTER KA	Ll	kcy
U+0043B	CYRILLIC SMALL LETTER EL	Ll	lcy
U+0043C	CYRILLIC SMALL LETTER EM	Ll	mcy
U+0043D	CYRILLIC SMALL LETTER EN	Ll	ncy
U+0043E	CYRILLIC SMALL LETTER O	Ll	ocy
U+0043F	CYRILLIC SMALL LETTER PE	Ll	pcy
U+00440	CYRILLIC SMALL LETTER ER	Ll	rcy
U+00441	CYRILLIC SMALL LETTER ES	Ll	scy
U+00442	CYRILLIC SMALL LETTER TE	Ll	tcy
U+00443	CYRILLIC SMALL LETTER U	Ll	ucy
U+00444	CYRILLIC SMALL LETTER EF	Ll	fcy
U+00445	CYRILLIC SMALL LETTER HA	Ll	khcy
U+00446	CYRILLIC SMALL LETTER TSE	Ll	tscy
U+00447	CYRILLIC SMALL LETTER CHE	Ll	chcy
U+00448	CYRILLIC SMALL LETTER SHA	Ll	shcy
U+00449	CYRILLIC SMALL LETTER SHCHA	Ll	shchcy
U+0044A	CYRILLIC SMALL LETTER HARD SIGN	Ll	hardcy
U+0044B	CYRILLIC SMALL LETTER YERU	Ll	ycy
U+0044C	CYRILLIC SMALL LETTER SOFT SIGN	Ll	softcy
U+0044D	CYRILLIC SMALL LETTER E	Ll	ecy
U+0044E	CYRILLIC SMALL LETTER YU	Ll	yucy
U+0044F	CYRILLIC SMALL LETTER YA	Ll	yacy
U+00451	CYRILLIC SMALL LETTER IO	Ll	iocy
U+00452	CYRILLIC SMALL LETTER DJE	Ll	djcy
U+00453	CYRILLIC SMALL LETTER GJE	Ll	gjcy
U+00454	CYRILLIC SMALL LETTER UKRAINIAN IE	Ll	jukcy
U+00455	CYRILLIC SMALL LETTER DZE	Ll	dscy
U+00456	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I	Ll	iukcy
U+00457	CYRILLIC SMALL LETTER YI	Ll	yicy
